id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
584693,46,BlockedShot,0.874000015258789,0.33799999237060546,0.0402679517865181,Mohamed Salah,a,1250,FromCorner,2024,LeftFoot,26603,Ipswich,Liverpool,0,2,2024-08-17 11:30:00,Luis Díaz,Pass
584700,64,Goal,0.9369999694824219,0.4490000152587891,0.5713244676589966,Mohamed Salah,a,1250,OpenPlay,2024,LeftFoot,26603,Ipswich,Liverpool,0,2,2024-08-17 11:30:00,,None
584702,70,SavedShot,0.8369999694824218,0.5629999923706055,0.40319985151290894,Mohamed Salah,a,1250,OpenPlay,2024,LeftFoot,26603,Ipswich,Liverpool,0,2,2024-08-17 11:30:00,Dominik Szoboszlai,Throughball
584707,93,SavedShot,0.9309999847412109,0.34700000762939454,0.08194273710250854,Mohamed Salah,a,1250,OpenPlay,2024,LeftFoot,26603,Ipswich,Liverpool,0,2,2024-08-17 11:30:00,,None
586849,20,MissedShots,0.8819999694824219,0.3139999961853027,0.06441381573677063,Mohamed Salah,h,1250,OpenPlay,2024,LeftFoot,26621,Liverpool,Brentford,2,0,2024-08-25 15:30:00,Trent Alexander-Arnold,Pass
586869,67,SavedShot,0.8640000152587891,0.27,0.04379034787416458,Mohamed Salah,h,1250,OpenPlay,2024,LeftFoot,26621,Liverpool,Brentford,2,0,2024-08-25 15:30:00,Dominik Szoboszlai,Pass
586870,69,Goal,0.894000015258789,0.37900001525878907,0.3250463306903839,Mohamed Salah,h,1250,OpenPlay,2024,LeftFoot,26621,Liverpool,Brentford,2,0,2024-08-25 15:30:00,Luis Díaz,Pass
589908,55,Goal,0.8569999694824219,0.42,0.2954355478286743,Mohamed Salah,a,1250,OpenPlay,2024,LeftFoot,26631,Manchester United,Liverpool,0,3,2024-09-01 15:00:00,Dominik Szoboszlai,Pass
589909,56,MissedShots,0.860999984741211,0.4909999847412109,0.1737222522497177,Mohamed Salah,a,1250,OpenPlay,2024,LeftFoot,26631,Manchester United,Liverpool,0,3,2024-09-01 15:00:00,,TakeOn
589910,57,BlockedShot,0.865,0.2929999923706055,0.05393638834357262,Mohamed Salah,a,1250,OpenPlay,2024,LeftFoot,26631,Manchester United,Liverpool,0,3,2024-09-01 15:00:00,Alexis Mac Allister,Pass
590861,51,SavedShot,0.965,0.3220000076293945,0.08929038047790527,Mohamed Salah,h,1250,OpenPlay,2024,RightFoot,26635,Liverpool,Nottingham Forest,0,1,2024-09-14 14:00:00,Trent Alexander-Arnold,TakeOn
590865,65,MissedShots,0.7680000305175781,0.34,0.020339200273156166,Mohamed Salah,h,1250,OpenPlay,2024,LeftFoot,26635,Liverpool,Nottingham Forest,0,1,2024-09-14 14:00:00,Ibrahima Konaté,Chipped
590870,75,SavedShot,0.9069999694824219,0.24299999237060546,0.03092752955853939,Mohamed Salah,h,1250,OpenPlay,2024,LeftFoot,26635,Liverpool,Nottingham Forest,0,1,2024-09-14 14:00:00,Dominik Szoboszlai,Pass
592400,12,SavedShot,0.8569999694824219,0.36400001525878906,0.08394662290811539,Mohamed Salah,h,1250,OpenPlay,2024,LeftFoot,26645,Liverpool,Bournemouth,3,0,2024-09-21 14:00:00,Alexis Mac Allister,Pass
592413,39,SavedShot,0.870999984741211,0.3240000152587891,0.07777722179889679,Mohamed Salah,h,1250,OpenPlay,2024,LeftFoot,26645,Liverpool,Bournemouth,3,0,2024-09-21 14:00:00,Ryan Gravenberch,Pass
592418,58,BlockedShot,0.9119999694824219,0.6179999923706054,0.1671527922153473,Mohamed Salah,h,1250,OpenPlay,2024,RightFoot,26645,Liverpool,Bournemouth,3,0,2024-09-21 14:00:00,,TakeOn
592417,58,SavedShot,0.950999984741211,0.6029999923706054,0.12669971585273743,Mohamed Salah,h,1250,OpenPlay,2024,LeftFoot,26645,Liverpool,Bournemouth,3,0,2024-09-21 14:00:00,Alexis Mac Allister,Chipped
594314,49,MissedShots,0.86,0.3679999923706055,0.32834869623184204,Mohamed Salah,a,1250,OpenPlay,2024,RightFoot,26658,Wolverhampton Wanderers,Liverpool,1,2,2024-09-28 16:30:00,,None
594316,60,Goal,0.885,0.5,0.7611688375473022,Mohamed Salah,a,1250,Penalty,2024,LeftFoot,26658,Wolverhampton Wanderers,Liverpool,1,2,2024-09-28 16:30:00,,Standard
594317,64,SavedShot,0.8419999694824218,0.3039999961853027,0.06538242101669312,Mohamed Salah,a,1250,OpenPlay,2024,LeftFoot,26658,Wolverhampton Wanderers,Liverpool,1,2,2024-09-28 16:30:00,Trent Alexander-Arnold,Pass
595228,47,BlockedShot,0.865,0.3270000076293945,0.07097150385379791,Mohamed Salah,a,1250,OpenPlay,2024,LeftFoot,26662,Crystal Palace,Liverpool,0,1,2024-10-05 11:30:00,Curtis Jones,Pass
595230,55,SavedShot,0.9019999694824219,0.40900001525878904,0.3083310127258301,Mohamed Salah,a,1250,OpenPlay,2024,LeftFoot,26662,Crystal Palace,Liverpool,0,1,2024-10-05 11:30:00,Virgil van Dijk,Chipped
597742,25,BlockedShot,0.8490000152587891,0.28,0.031621892005205154,Mohamed Salah,h,1250,OpenPlay,2024,LeftFoot,26679,Liverpool,Chelsea,2,1,2024-10-20 15:30:00,Curtis Jones,Pass
597743,28,Goal,0.885,0.5,0.7611688375473022,Mohamed Salah,h,1250,Penalty,2024,LeftFoot,26679,Liverpool,Chelsea,2,1,2024-10-20 15:30:00,,Standard
599063,13,MissedShots,0.76,0.385,0.018175456672906876,Mohamed Salah,a,1250,OpenPlay,2024,LeftFoot,26691,Arsenal,Liverpool,2,2,2024-10-27 16:30:00,,BallRecovery
599071,51,SavedShot,0.9669999694824218,0.34900001525878904,0.06272826343774796,Mohamed Salah,a,1250,OpenPlay,2024,RightFoot,26691,Arsenal,Liverpool,2,2,2024-10-27 16:30:00,Alexis Mac Allister,Pass
599077,80,Goal,0.8930000305175781,0.46,0.5900135040283203,Mohamed Salah,a,1250,OpenPlay,2024,LeftFoot,26691,Arsenal,Liverpool,2,2,2024-10-27 16:30:00,Darwin Núñez,Pass
600140,25,MissedShots,0.9819999694824219,0.3920000076293945,0.05820126831531525,Mohamed Salah,h,1250,OpenPlay,2024,RightFoot,26696,Liverpool,Brighton,2,1,2024-11-02 15:00:00,Trent Alexander-Arnold,Foul
600151,55,SavedShot,0.905,0.3509999847412109,0.27347931265830994,Mohamed Salah,h,1250,OpenPlay,2024,LeftFoot,26696,Liverpool,Brighton,2,1,2024-11-02 15:00:00,Darwin Núñez,Chipped
600156,71,Goal,0.8519999694824218,0.31799999237060544,0.06631126999855042,Mohamed Salah,h,1250,OpenPlay,2024,LeftFoot,26696,Liverpool,Brighton,2,1,2024-11-02 15:00:00,Curtis Jones,Pass
601734,4,BlockedShot,0.8719999694824219,0.3579999923706055,0.096575528383255,Mohamed Salah,h,1250,OpenPlay,2024,LeftFoot,26707,Liverpool,Aston Villa,2,0,2024-11-09 20:00:00,Trent Alexander-Arnold,Pass
601751,60,BlockedShot,0.8059999847412109,0.500999984741211,0.05886966735124588,Mohamed Salah,h,1250,OpenPlay,2024,LeftFoot,26707,Liverpool,Aston Villa,2,0,2024-11-09 20:00:00,Luis Díaz,Pass
601758,83,Goal,0.950999984741211,0.44599998474121094,0.620209276676178,Mohamed Salah,h,1250,OpenPlay,2024,LeftFoot,26707,Liverpool,Aston Villa,2,0,2024-11-09 20:00:00,,Interception
603446,5,SavedShot,0.87,0.3189999961853027,0.07900740951299667,Mohamed Salah,a,1250,OpenPlay,2024,LeftFoot,26721,Southampton,Liverpool,2,3,2024-11-24 14:00:00,Dominik Szoboszlai,Pass
603447,8,MissedShots,0.9580000305175781,0.34900001525878904,0.0484333299100399,Mohamed Salah,a,1250,OpenPlay,2024,LeftFoot,26721,Southampton,Liverpool,2,3,2024-11-24 14:00:00,Andrew Robertson,Cross
603449,20,SavedShot,0.95,0.34599998474121096,0.2650887072086334,Mohamed Salah,a,1250,OpenPlay,2024,LeftFoot,26721,Southampton,Liverpool,2,3,2024-11-24 14:00:00,Cody Gakpo,Cross
603465,64,Goal,0.875,0.29600000381469727,0.2497328668832779,Mohamed Salah,a,1250,OpenPlay,2024,LeftFoot,26721,Southampton,Liverpool,2,3,2024-11-24 14:00:00,Ryan Gravenberch,Chipped
603474,82,Goal,0.885,0.5,0.7611688375473022,Mohamed Salah,a,1250,Penalty,2024,LeftFoot,26721,Southampton,Liverpool,2,3,2024-11-24 14:00:00,,Standard
603475,84,MissedShots,0.855,0.375,0.12296708673238754,Mohamed Salah,a,1250,OpenPlay,2024,LeftFoot,26721,Southampton,Liverpool,2,3,2024-11-24 14:00:00,Dominik Szoboszlai,Chipped
603476,87,ShotOnPost,0.9490000152587891,0.40700000762939453,0.1406598687171936,Mohamed Salah,a,1250,OpenPlay,2024,LeftFoot,26721,Southampton,Liverpool,2,3,2024-11-24 14:00:00,,None
604826,55,MissedShots,0.8480000305175781,0.44599998474121094,0.3509168326854706,Mohamed Salah,h,1250,OpenPlay,2024,LeftFoot,26726,Liverpool,Manchester City,2,0,2024-12-01 16:00:00,,BallRecovery
604829,62,MissedShots,0.8430000305175781,0.6419999694824219,0.06637599319219589,Mohamed Salah,h,1250,OpenPlay,2024,LeftFoot,26726,Liverpool,Manchester City,2,0,2024-12-01 16:00:00,Luis Díaz,BallRecovery
604831,77,Goal,0.885,0.5,0.7611688375473022,Mohamed Salah,h,1250,Penalty,2024,LeftFoot,26726,Liverpool,Manchester City,2,0,2024-12-01 16:00:00,,Standard
605239,13,BlockedShot,0.92,0.35200000762939454,0.09205697476863861,Mohamed Salah,a,1250,OpenPlay,2024,LeftFoot,26740,Newcastle United,Liverpool,3,3,2024-12-04 19:30:00,Curtis Jones,Pass
605258,67,Goal,0.9569999694824218,0.415,0.4565964639186859,Mohamed Salah,a,1250,OpenPlay,2024,RightFoot,26740,Newcastle United,Liverpool,3,3,2024-12-04 19:30:00,Trent Alexander-Arnold,Pass
605265,81,ShotOnPost,0.9590000152587891,0.3320000076293945,0.08029381185770035,Mohamed Salah,a,1250,OpenPlay,2024,RightFoot,26740,Newcastle United,Liverpool,3,3,2024-12-04 19:30:00,Trent Alexander-Arnold,TakeOn
605266,82,Goal,0.905,0.46599998474121096,0.1345466822385788,Mohamed Salah,a,1250,OpenPlay,2024,LeftFoot,26740,Newcastle United,Liverpool,3,3,2024-12-04 19:30:00,Trent Alexander-Arnold,Pass
607109,46,MissedShots,0.889000015258789,0.37799999237060544,0.06115205958485603,Mohamed Salah,h,1250,OpenPlay,2024,LeftFoot,26752,Liverpool,Fulham,2,2,2024-12-14 15:00:00,,None
607116,65,MissedShots,0.8780000305175781,0.6669999694824219,0.0845210999250412,Mohamed Salah,h,1250,OpenPlay,2024,LeftFoot,26752,Liverpool,Fulham,2,2,2024-12-14 15:00:00,Dominik Szoboszlai,Pass
607119,70,MissedShots,0.845999984741211,0.515,0.05395442247390747,Mohamed Salah,h,1250,OpenPlay,2024,LeftFoot,26752,Liverpool,Fulham,2,2,2024-12-14 15:00:00,Luis Díaz,Cross
607124,90,BlockedShot,0.89,0.325,0.03505393862724304,Mohamed Salah,h,1250,FromCorner,2024,LeftFoot,26752,Liverpool,Fulham,2,2,2024-12-14 15:00:00,Harvey Elliott,Cross
608793,2,MissedShots,0.8780000305175781,0.28,0.04248105362057686,Mohamed Salah,a,1250,OpenPlay,2024,LeftFoot,26768,Tottenham,Liverpool,3,6,2024-12-22 16:30:00,,BallRecovery
608795,9,SavedShot,0.9569999694824218,0.43,0.41125401854515076,Mohamed Salah,a,1250,OpenPlay,2024,LeftFoot,26768,Tottenham,Liverpool,3,6,2024-12-22 16:30:00,Trent Alexander-Arnold,Cross
608799,16,BlockedShot,0.88,0.41900001525878905,0.07199815660715103,Mohamed Salah,a,1250,OpenPlay,2024,LeftFoot,26768,Tottenham,Liverpool,3,6,2024-12-22 16:30:00,Cody Gakpo,Cross
608800,16,BlockedShot,0.8809999847412109,0.4159999847412109,0.0798204317688942,Mohamed Salah,a,1250,OpenPlay,2024,LeftFoot,26768,Tottenham,Liverpool,3,6,2024-12-22 16:30:00,,Rebound
608801,17,ShotOnPost,0.899000015258789,0.3609999847412109,0.13126632571220398,Mohamed Salah,a,1250,OpenPlay,2024,RightFoot,26768,Tottenham,Liverpool,3,6,2024-12-22 16:30:00,Luis Díaz,TakeOn
608812,53,Goal,0.9669999694824218,0.4909999847412109,0.9530402421951294,Mohamed Salah,a,1250,OpenPlay,2024,LeftFoot,26768,Tottenham,Liverpool,3,6,2024-12-22 16:30:00,,Rebound
608814,60,Goal,0.9009999847412109,0.5179999923706055,0.513583242893219,Mohamed Salah,a,1250,OpenPlay,2024,RightFoot,26768,Tottenham,Liverpool,3,6,2024-12-22 16:30:00,Dominik Szoboszlai,Pass
609211,3,SavedShot,0.970999984741211,0.43,0.11911872774362564,Mohamed Salah,h,1250,OpenPlay,2024,RightFoot,26776,Liverpool,Leicester,3,1,2024-12-26 20:00:00,Cody Gakpo,Cross
609219,23,BlockedShot,0.8680000305175781,0.37599998474121094,0.054748158901929855,Mohamed Salah,h,1250,OpenPlay,2024,RightFoot,26776,Liverpool,Leicester,3,1,2024-12-26 20:00:00,,None
609223,44,ShotOnPost,0.870999984741211,0.35,0.08661597967147827,Mohamed Salah,h,1250,OpenPlay,2024,LeftFoot,26776,Liverpool,Leicester,3,1,2024-12-26 20:00:00,,None
609232,78,SavedShot,0.8869999694824219,0.3110000038146973,0.15444086492061615,Mohamed Salah,h,1250,OpenPlay,2024,LeftFoot,26776,Liverpool,Leicester,3,1,2024-12-26 20:00:00,Trent Alexander-Arnold,Throughball
609233,81,Goal,0.8930000305175781,0.29600000381469727,0.11710214614868164,Mohamed Salah,h,1250,OpenPlay,2024,LeftFoot,26776,Liverpool,Leicester,3,1,2024-12-26 20:00:00,Cody Gakpo,Chipped
609580,5,SavedShot,0.945,0.445,0.5369810461997986,Mohamed Salah,a,1250,OpenPlay,2024,LeftFoot,26791,West Ham,Liverpool,0,5,2024-12-29 17:15:00,Cody Gakpo,Throughball
609591,43,Goal,0.85,0.3770000076293945,0.08956075459718704,Mohamed Salah,a,1250,OpenPlay,2024,LeftFoot,26791,West Ham,Liverpool,0,5,2024-12-29 17:15:00,Curtis Jones,Pass
